recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
19,Diaphania indica,Cucumber Moth,51922,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Diaphania
20,Pangora matherana,Matheran Moth,602311,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Pangora
21,Episteme maculatrix,,464057,Noctuoidea,Noctuidae,Agaristinae,,,Episteme
22,Scopula opicata,,344288,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Scopula
23,Attacus taprobanis,Sri Lankan Atlas Moth,125061,Bombycoidea,Saturniidae,Saturniinae,Attacini,,Attacus
24,Nyctemera coleta,Marbled White Moth,202268,Noctuoidea,Erebidae,Arctiinae,Arctiini,Pericopina,Nyctemera
25,Macrobrochis gigas,Giant Moth,204734,Noctuoidea,Erebidae,Arctiinae,Lithosiini,,Macrobrochis
26,Eligma narcissus,Ailanthus Defoliator,144054,Noctuoidea,Nolidae,Eligminae,,,Eligma
27,Daphnis nerii,Oleander Hawkmoth,51996,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Macroglossina,Daphnis
28,Parapoynx stagnalis,Rice Case Bearer,203822,Pyraloidea,Crambidae,Acentropinae,,,Parapoynx
