recordNumber,scientificName
265,Trischalis subaurana
266,Thyas honesta
267,Theretra clotho
268,Synegia conflagrata
269,Spodoptera mauritia
270,Scopula modesta
271,Scopula adeptaria
272,Rhombophylla edentata
273,Rhimphalea ochalis
274,Pygospila costiflexalis
275,Psilogramma increta
276,Prophantis adusta
277,Progonia kurosawai
278,Pericyma cruegeri
279,Parapoynx villidalis
280,Pangora erosa
281,Pagyda salvalis
282,Ourapteryx marginata
283,Orgyia postica
284,Neocerura liturata
285,Macaldenia palumba
286,Mabra eryxalis
287,Lopharthrum comprimens
288,Loepa schintlmeisteri
289,Lamprosema tampiusalis
290,Hypomecis separata
291,Hypolamprus ypsilon
292,Hypochrosis hyadaria
293,Herpetogramma rudis
294,Glycythyma chrysorycta
295,Eublemma olivacea
296,Eublemma brachygonia
297,Eublemma abrupta
298,Ericeia inangulata
299,Dysphania nelera
300,Dichocrocis rigidalis
301,Diacrotricha fasciola
302,Cyclosiella dulcicula
303,Cyana guttifera
304,Cusiala raptaria
305,Cusiala boarmoides
306,Comostola pyrrhogona
307,Cnaphalocrocis trebiusalis
308,Cleora alienaria
309,Chrysodeixis eriosoma
310,Chrysocraspeda faganaria
311,Chorsia albiscripta
312,Chiasmia pluviata
313,Chiasmia normata
314,Callidrepana patrana
315,Bastilla amygdalis
316,Aroa plana
317,Antheua servula
318,Amata bicincta
319,Agathia lycaenaria
320,Acosmeryx anceus
321,Achaea serva
322,Abraxas poliaria
323,Yepcalphis dilectissima
324,Xyleutes strix
325,Xyleutes persona
326,Ulopeza idyalis
327,Tyspanodes linealis
328,Trypanophora semihyalina
329,Trigonodes disjuncta
330,Tiracola plagiata
331,Tinolius eburneigutta
332,Timandra ruptilinea
333,Thalathoides curtalis
334,Stauropus alternus
335,Spilosoma obliqua
336,Speiredonia obscura
337,Somena scintillans
338,Somatina purpurascens
339,Somatina omicraria
340,Simplicia cornicalis
341,Simplicia bimarginata
342,Scopula butleri
343,Rivula cognata
344,Rehimena phrynealis
345,Pycnarmon cribrata
346,Pycnarmon alboflavalis
347,Ptychopseustis plumbeolinealis
348,Ptisciana seminivea
349,Pterocyclophora pictimargo
350,Pseudocatharylla nigrociliella
351,Problepsis vulgaris
352,Pomasia sparsata
353,Phyllodes consobrina
354,Palpita vitrealis
355,Padenia transversa
356,Pachynoa xanthochyta
357,Omiodes analis
358,Olepa ocellifera
359,Noorda blitealis
360,Miltochrista arcuata
361,Mecodina albodentata
362,Mecodina agrestis
363,Macroglossum gyrans
364,Lysimelia alstoni
365,Lophophleps purpurea
366,Lissoblemma lunuliferata
367,Lebeda nobilis
368,Labdia semicoccinea
369,Ischnurges gratiosalis
370,Idaea costiguttata
371,Idaea amplipennis
372,Hypena laceratalis
373,Horisme leprosa
374,Hodebertia testalis
375,Histia flabellicornis
376,Hipoepa biasalis
377,Herpetogramma phaeopteralis
378,Herpetogramma bipunctalis
379,Hendecasis duplifascialis
380,Gonodontis clelia
381,Gabala polyspilalis
382,Eupterote undata
383,Eupterote fabia
384,Eupterote bifasciata
385,Eublemma roseana
386,Episothalma robustaria
387,Epiplema fulvilinea
388,Entomogramma fautrix
389,Elophila difflualis
390,Dysphania palmyra
391,Dysallacta negatalis
392,Dysaethria quadricaudata
393,Dolbina manjunatha
394,Diomea lignicolora
395,Dichromia pullata
396,Dichromia laesalis
397,Cyana linatula
398,Cyana bhatejai
399,Ctenoplusia albostriata
400,Creatonotos gangis
401,Corymica deducta
402,Comibaena cassidara
403,Cnaphalocrocis patnalis
404,Cirrhochrista fumipalpis
405,Cirrhochrista brizoalis
406,Chrysocraspeda abhadraca
407,Chlorozancla falcatus
408,Chiasmia perfusaria
409,Cephonodes hylas
410,Casama vilis
411,Calonola ectrocta
412,Callopistria rivularis
413,Callopistria minor
414,Britha biguttata
415,Botyodes asialis
416,Bacotoma violata
417,Avatha bubo
418,Astygisa vexillaria
419,Asota producta
420,Arsacia rectalis
421,Arippara indicator
422,Argyrocosma inductaria
423,Amyna stricta
424,Amblychia hymenaria
425,Amata elongata
426,Altha subnotata
427,Almonia truncatalis
428,Aegocera venulia
429,Adites pseudohilaris
430,Actias keralana
431,Acropteris striataria
432,Zitha torridalis
433,Zitha tactilis
434,Ziridava xylinaria
435,Zamarada excisa
436,Xenotrachea albidisca
437,Volobilis chloropterella
438,Vitessa suradeva
439,Uresiphita gilvata
440,Tonica niviferana
441,Timandra convectaria
442,Thysanoplusia orichalcea
443,Thysanoidma octalis
444,Theretra alecto
445,Tephriopis divulsa
446,Tarsolepis rufobrunnea
447,Targalla albiceps
448,Tabidia aculealis
449,Syngamia falsidicalis
450,Symmacra solidaria
451,Syllepte sellalis
452,Syllepte abyssalis
453,Suana concolor
454,Stauropus thiaucourti
455,Stauropus fagi
456,Spilosoma lutea
457,Sphragifera rejecta
458,Sphenarches zanclistes
459,Speiredonia mutabilis
460,Spaniocentra pannosa
461,Sommeria insulana
462,Somatina anthophilata
463,Serrodes partita
464,Selepa celtis
465,Secusio strigata
466,Scopula deliciosaria
467,Savara pallidapex
468,Sauris malaca
469,Sangatissa subcurvifera
470,Ruttellerona pseudocessaria
471,Ruttellerona cessaria
472,Rusicada combinans
473,Rosama auritracta
474,Risoba repugnans
475,Rhombophylla rectimarginata
476,Ramadasa pavo
477,Rajendra perrottetii
478,Racotis keralaria
479,Pyralis pictalis
480,Psilalcis breta
481,Psilalcis bisinuata
482,Protuliocnemis biplagiata
483,Polynesia sunandava
484,Polydesma boarmoides
485,Plecoptera quaesita
486,Platyja ciacula
487,Platycerota vitticostata
488,Pingasa ruginaria
489,Pindara illibata
490,Pilocrocis milvinalis
491,Picrostomastis subrosealis
492,Phazaca leucocera
493,Phalera grotei
494,Petelia distracta
495,Perixera illepidaria
496,Perixera decretarioides
497,Parapoynx diminutalis
498,Parapoynx crisonalis
499,Paracymoriza vagalis
500,Paracymoriza olivalis
501,Pantana substrigosa
502,Palpita annulifer
503,Ozola minor
504,Oxyodes scrobiculata
505,Oxaenanus brontesalis
506,Orvasca bicolor
507,Orthaga exvinacea
508,Orphanostigma abruptalis
509,Oreta extensa
510,Ophthalmitis caritaria
511,Omphisa repetitalis
512,Olepa clavatus
513,Olene dudgeoni
514,Oenospila flavifusata
515,Ocinara albicollis
516,Nygmia plana
517,Nyctemera hampsoni
518,Nosophora dispilalis
519,Nolasena ferrifervens
520,Noctuelia dichroalis
521,Neochera inops
522,Negeta contrariata
523,Musotima suffusalis
524,Mosara apicalis
525,Miltochrista conjunctana
526,Microloxia indecretata
527,Microloxia herbaria
528,Metanastria hyrtaca
529,Mecodina diastriga
530,Maurilia iconica
531,Massepha absolutalis
532,Maruca amboinalis
533,Maliattha ruptifascia
534,Maguda suffusa
535,Macroglossum particolor
536,Macroglossum neotroglodytus
537,Macotasa orientalis
538,Lymantria todara
539,Lymantria monacha
540,Lymantria mathura
541,Lymantria incerta
542,Lymantria dispar
543,Lymantria aryama
544,Lygropia distorta
545,Lophophelma luteipes
546,Lomographa inamata
547,Loepa katinka
548,Leucophlebia lineata
549,Lamprosema commixta
550,Lacera procellosa
551,Lacera noctilio
552,Ischyja manlia
553,Imma marmarozona
554,Imma mackwoodii
555,Idaea violacea
556,Idaea micra
557,Hypsopygia nigrivitta
558,Hyposidra violescens
559,Hyposada hydrocampata
560,Hypena sagitta
561,Hypena palparia
562,Hypena lividalis
563,Hypena conscitalis
564,Homona coffearia
565,Homodes vivida
566,Homodes crocea
567,Hipoepa fractalis
568,Herpetogramma cynaralis
569,Herpetogramma basalis
570,Hemithea wuka
571,Heliothis peltigera
572,Helicoverpa assulta
573,Hamodes propitia
574,Grammodes geometrica
575,Gonodontis pallida
576,Gastropacha pardale
577,Gampola fasciata
578,Galleria mellonella
579,Evomina plagiola
580,Euthrix laeta
581,Eupterote mollifera
582,Euproctis lunata
583,Eumeta variegata
584,Eudocima cocalus
585,Eucyclodes picturata
586,Eublemma versicolor
587,Eublemma semirufa
588,Eublemma roseonivea
589,Eublemma dimidialis
590,Ericeia pertendens
591,Episteme latimargo
592,Eois memorata
593,Eois grataria
594,Emmelina monodactyla
595,Ecliptopera dissecta
596,Dysgonia torrida
597,Dysgonia algira
598,Doloessa viridis
599,Dierna strigata
600,Delgamma pangonia
601,Dasyboarmia delineata
602,Daphnis minima
603,Cydalima laticostalis
604,Cyclophora obstataria
605,Cyclophora intermixtaria
606,Cyana subornata
607,Ctenoplusia tarassota
608,Crocidosema plebejana
609,Crocidolomia pavonana
610,Cricula andrei
611,Condica conducta
612,Comostola subtiliaria
613,Collinsa acutalis
614,Coconympha iriarcha
615,Cleora contiguata
616,Cleora acaciaria
617,Chrioloba indicaria
618,Choreutis ophiosema
619,Chlorochaeta integranota
620,Chiasmia fidoniata
621,Cheromettia apicata
622,Chasmina fasciculosa
623,Chalcidica mineus
624,Chadisra bipars
625,Catoria sublavaria
626,Catephia linteola
627,Cassephyra lamprosticta
628,Carriola fenestrata
629,Cania bilinea
630,Callyna monoleuca
631,Callyna jugaria
632,Callopistria maillardi
633,Calletaera subexpressa
634,Calesia haemorrhoa
635,Calesia dasypterus
636,Caduca albopunctata
637,Brithys crini
638,Bosara albitornalis
639,Bocula diffisa
640,Boarmia pallida
641,Boarmia adamata
642,Blasticorhinus rivulosa
643,Belippa horrida
644,Beara dichromella
645,Beana terminigera
646,Batracharta obliqua
647,Banisia myrsusalis
648,Bamra mundata
649,Bagada spicea
650,Asura metamelas
651,Asura congerens
652,Aroa clara
653,Aroa campbelli
654,Arna bipunctapex
655,Argyrogramma signata
656,Arcte coerula
657,Aplochlora vivilaca
658,Antimimistis cuprina
659,Antimimistis attenuata
660,Antheua exanthemata
661,Anisoneura aluco
662,Analyta apicalis
663,Amyna axis
664,Altha nivea
665,Aloa cardinalis
666,Almonia cristata
667,Agrotis spinifera
668,Agrotera scissalis
669,Aglaopus industa
670,Aergina fumosa
671,Adoxophyes privatana
672,Adisura atkinsoni
673,Addaea trimeronalis
674,Acropteris ciniferaria
675,Acronicta morula
676,Acolutha pictaria
677,Achrosis fulvifusa
678,Achaea mezentia
679,Acantholipes trajecta
680,Abraxas crocearia
